clean_date,total_articles,positive,neutral,negative,average_confidence,weighted_sentiment,positive_ratio,neutral_ratio,negative_ratio,weighted_ma3,weighted_ma7,sentiment_ma3,sentiment_ma7,momentum,lag1,lag7
2018-07-19,1,0,0,1,0.916787564754486,-0.916787564754486,0.0,0.0,1.0,-0.7316402329338921,-0.3457903918765839,-0.7316402329338922,-0.34579039187658406,0.04735064506530784,-0.9641382098197938,-0.8835867047309875
2018-07-20,1,0,1,0,0.8050899505615234,0.0,0.0,1.0,0.0,-0.6269752581914264,-0.2124472061793008,-0.6269752581914267,-0.212447206179301,0.916787564754486,-0.916787564754486,-0.9334022998809814
2018-07-22,2,0,1,1,0.930541217327118,-0.4603080451488495,0.0,0.5,0.5,-0.4590318699677784,-0.1409777076471418,-0.45903186996777867,-0.14097770764714204,-0.4603080451488495,0.0,-0.9605945348739624
2018-07-23,1,1,0,0,0.684806227684021,0.684806227684021,1.0,0.0,0.0,0.0748327275117239,-0.1489685277144113,0.07483272751172369,-0.1489685277144115,1.1451142728328705,-0.4603080451488495,0.7407419681549072
2018-07-24,1,1,0,0,0.5875532627105713,0.5875532627105713,1.0,0.0,0.0,0.2706838150819143,-0.1975527505079904,0.27068381508191414,-0.1975527505079906,-0.09725296497344971,0.684806227684021,0.927642822265625
2018-07-25,1,0,0,1,0.918146014213562,-0.918146014213562,0.0,0.0,1.0,0.1180711587270101,-0.2838600490774426,0.11807115872700995,-0.2838600490774428,-1.5056992769241333,0.5875532627105713,-0.3139949242273966
2018-07-26,1,0,0,1,0.94203382730484,-0.94203382730484,0.0,0.0,1.0,-0.4242088596026101,-0.2807022801467349,-0.4242088596026104,-0.2807022801467351,-0.023887813091277965,-0.918146014213562,-0.9641382098197938
2018-07-27,1,0,0,1,0.9102131128311156,-0.9102131128311156,0.0,0.0,1.0,-0.9234643181165058,-0.2797630727291106,-0.923464318116506,-0.2797630727291108,0.031820714473724365,-0.94203382730484,-0.916787564754486
2018-07-29,1,1,0,0,0.8961533308029175,0.8961533308029175,1.0,0.0,0.0,-0.3186978697776793,-0.1517411683286938,-0.3186978697776795,-0.151741168328694,1.8063664436340332,-0.9102131128311156,0.0
2018-07-30,1,1,0,0,0.6916016936302185,0.6916016936302185,1.0,0.0,0.0,0.2258473038673402,0.0128173657826016,0.22584730386733998,0.012817365782601444,-0.20455163717269897,0.8961533308029175,-0.4603080451488495
2018-07-31,1,1,0,0,0.6147964596748352,0.6147964596748352,1.0,0.0,0.0,0.7341838280359904,0.0028159703527179,0.7341838280359902,0.002815970352717761,-0.0768052339553833,0.6916016936302185,0.684806227684021
2018-08-01,1,1,0,0,0.8803603649139404,0.8803603649139404,1.0,0.0,0.0,0.728919506072998,0.0446455563817706,0.7289195060729979,0.04464555638177049,0.2655639052391052,0.6147964596748352,0.5875532627105713
2018-08-02,1,0,0,1,0.945516049861908,-0.945516049861908,0.0,0.0,1.0,0.1832135915756226,0.0407355512891498,0.18321359157562242,0.04073555128914963,-1.8258764147758484,0.8803603649139404,-0.918146014213562
2018-08-03,1,0,1,0,0.9348725080490112,0.0,0.0,1.0,0.0,-0.0217185616493224,0.1753118123326983,-0.02171856164932266,0.1753118123326982,0.945516049861908,-0.945516049861908,-0.94203382730484
2018-08-05,1,0,0,1,0.5702605247497559,-0.5702605247497559,0.0,0.0,1.0,-0.5052588582038878,0.2238764677728926,-0.505258858203888,0.22387646777289247,-0.5702605247497559,0.0,-0.9102131128311156
2018-08-06,1,0,0,1,0.5464657545089722,-0.5464657545089722,0.0,0.0,1.0,-0.3722420930862426,0.0177880270140512,-0.37224209308624284,0.017788027014051085,0.02379477024078369,-0.5702605247497559,0.8961533308029175
2018-08-07,1,1,0,0,0.4860641062259674,0.4860641062259674,1.0,0.0,0.0,-0.2102207243442534,-0.0115744854722703,-0.21022072434425368,-0.0115744854722705,1.0325298607349396,-0.5464657545089722,0.6916016936302185
2018-08-09,1,0,0,1,0.9558939337730408,-0.9558939337730408,0.0,0.0,1.0,-0.3387651940186817,-0.2359588273933955,-0.338765194018682,-0.23595882739339563,-1.4419580399990082,0.4860641062259674,0.6147964596748352
2018-08-12,1,0,0,1,0.972015917301178,-0.972015917301178,0.0,0.0,1.0,-0.4806152482827504,-0.5005840105669839,-0.4806152482827506,-0.500584010566984,-0.016121983528137207,-0.9558939337730408,0.8803603649139404
2018-08-13,1,1,0,0,0.586994469165802,0.586994469165802,1.0,0.0,0.0,-0.4469717939694722,-0.2816539364201681,-0.4469717939694724,-0.2816539364201683,1.55901038646698,-0.972015917301178,-0.945516049861908
2018-08-15,1,1,0,0,0.6936742067337036,0.6936742067337036,1.0,0.0,0.0,0.1028842528661092,-0.1825576211724962,0.10288425286610907,-0.18255762117249633,0.10667973756790161,0.586994469165802,0.0
2018-08-16,1,1,0,0,0.9020328521728516,0.9020328521728516,1.0,0.0,0.0,0.727567176024119,0.027770004102162,0.7275671760241189,0.027770004102161874,0.20835864543914795,0.6936742067337036,-0.5702605247497559
2018-08-19,1,0,0,1,0.9642673134803772,-0.9642673134803772,0.0,0.0,1.0,0.2104799151420594,-0.0319159328937529,0.2104799151420592,-0.03191593289375313,-1.8663001656532288,0.9020328521728516,-0.5464657545089722
2018-08-20,1,0,0,1,0.9678048491477966,-0.9678048491477966,0.0,0.0,1.0,-0.3433464368184407,-0.2396114979471478,-0.3433464368184409,-0.23961149794714798,-0.0035375356674194336,-0.9642673134803772,0.4860641062259674
2018-08-21,1,0,0,1,0.9118770956993104,-0.9118770956993104,0.0,0.0,1.0,-0.9479830861091614,-0.2333233782223292,-0.9479830861091615,-0.23332337822232938,0.05592775344848622,-0.9678048491477966,-0.9558939337730408
2018-08-22,1,0,0,1,0.9626196026802064,-0.9626196026802064,0.0,0.0,1.0,-0.9474338491757712,-0.2319810475621904,-0.9474338491757713,-0.2319810475621906,-0.050742506980895996,-0.9118770956993104,-0.972015917301178
2018-08-23,1,0,0,1,0.9703115224838256,-0.9703115224838256,0.0,0.0,1.0,-0.9482694069544474,-0.4544533320835658,-0.9482694069544476,-0.454453332083566,-0.007691919803619163,-0.9626196026802064,0.586994469165802
2018-08-26,1,0,0,1,0.9326753616333008,-0.9326753616333008,0.0,0.0,1.0,-0.9552021622657776,-0.6867889847074237,-0.9552021622657777,-0.6867889847074238,0.03763616085052479,-0.9703115224838256,0.6936742067337036
2018-08-28,1,0,0,1,0.5170280933380127,-0.5170280933380127,0.0,0.0,1.0,-0.8066716591517129,-0.8895119769232613,-0.8066716591517132,-0.8895119769232614,0.4156472682952881,-0.9326753616333008,0.9020328521728516
2018-08-29,1,0,0,1,0.9590442776679992,-0.9590442776679992,0.0,0.0,1.0,-0.8029159108797708,-0.8887658289500644,-0.8029159108797709,-0.8887658289500646,-0.44201618432998646,-0.5170280933380127,-0.9642673134803772
2018-08-30,1,1,0,0,0.6577469706535339,0.6577469706535339,1.0,0.0,0.0,-0.2727751334508259,-0.6565441404070171,-0.2727751334508261,-0.6565441404070175,1.6167912483215332,-0.9590442776679992,-0.9678048491477966
2018-09-02,1,1,0,0,0.7082032561302185,0.7082032561302185,1.0,0.0,0.0,0.1356353163719178,-0.425104090145656,0.1356353163719176,-0.4251040901456561,0.05045628547668457,0.6577469706535339,-0.9118770956993104
2018-09-03,1,1,0,0,0.8595091104507446,0.8595091104507446,1.0,0.0,0.0,0.7418197790781657,-0.1647999882698057,0.7418197790781655,-0.1647999882698059,0.15130585432052612,0.7082032561302185,-0.9626196026802064
2018-09-04,1,1,0,0,0.6252574920654297,0.6252574920654297,1.0,0.0,0.0,0.730989952882131,0.0631384423800878,0.7309899528821308,0.06313844238008766,-0.23425161838531494,0.8595091104507446,-0.9703115224838256
2018-09-05,1,0,1,0,0.7591738104820251,0.0,0.0,1.0,0.0,0.4949222008387248,0.1963777797562736,0.4949222008387246,0.1963777797562735,-0.6252574920654297,0.6252574920654297,-0.9326753616333008
2018-09-06,1,0,0,1,0.7605510950088501,-0.7605510950088501,0.0,0.0,1.0,-0.0450978676478067,0.1615887795175825,-0.045097867647806954,0.1615887795175824,-0.7605510950088501,0.0,-0.5170280933380127
2018-09-09,1,0,0,1,0.924172580242157,-0.924172580242157,0.0,0.0,1.0,-0.5615745584170023,0.1665704505784171,-0.5615745584170025,0.16657045057841705,-0.16362148523330688,-0.7605510950088501,-0.9590442776679992
2018-09-10,1,0,0,1,0.9517184495925904,-0.9517184495925904,0.0,0.0,1.0,-0.8788140416145325,-0.0633531808853148,-0.8788140416145326,-0.06335318088531504,-0.02754586935043346,-0.924172580242157,0.6577469706535339
2018-09-11,1,1,0,0,0.8958194255828857,0.8958194255828857,1.0,0.0,0.0,-0.3266905347506205,-0.0365508709635052,-0.3266905347506207,-0.036550870963505434,1.847537875175476,-0.9517184495925904,0.7082032561302185
2018-09-12,1,1,0,0,0.6754398345947266,0.6754398345947266,1.0,0.0,0.0,0.2065136035283407,-0.0628464818000792,0.20651360352834047,-0.06284648180007944,-0.22037959098815918,0.8958194255828857,0.8595091104507446
2018-09-13,1,0,1,0,0.6445496678352356,0.0,0.0,1.0,0.0,0.5237530867258708,-0.1521689806665692,0.5237530867258706,-0.1521689806665694,-0.6754398345947266,0.6754398345947266,0.6252574920654297
2018-09-16,1,0,1,0,0.4519917964935303,0.0,0.0,1.0,0.0,0.2251466115315755,-0.1521689806665692,0.22514661153157536,-0.1521689806665694,0.0,0.0,0.0
2018-09-17,1,0,0,1,0.6622169017791748,-0.6622169017791748,0.0,0.0,1.0,-0.2207389672597248,-0.1381212387766156,-0.22073896725972508,-0.13812123877661578,-0.6622169017791748,0.0,-0.7605510950088501
2018-09-18,2,1,0,1,0.6221055388450623,-0.1200456023216247,0.5,0.0,0.5,-0.2607541680335998,-0.0232459562165395,-0.2607541680336,-0.023245956216539743,0.54217129945755,-0.6622169017791748,-0.924172580242157
2018-09-20,1,0,0,1,0.9542792439460754,-0.9542792439460754,0.0,0.0,1.0,-0.5788472493489583,-0.0236117839813231,-0.5788472493489585,-0.023611783981323305,-0.8342336416244507,-0.1200456023216247,-0.9517184495925904
2018-09-23,1,0,0,1,0.6758232116699219,-0.6758232116699219,0.0,0.0,1.0,-0.5833826859792073,-0.2481321607317242,-0.5833826859792075,-0.2481321607317244,0.27845603227615356,-0.9542792439460754,0.8958194255828857
2018-09-25,1,0,1,0,0.545722484588623,0.0,0.0,1.0,0.0,-0.5433674852053324,-0.344623565673828,-0.5433674852053326,-0.3446235656738282,0.6758232116699219,-0.6758232116699219,0.6754398345947266
2018-09-26,1,0,0,1,0.9522833824157716,-0.9522833824157716,0.0,0.0,1.0,-0.5427021980285645,-0.4806640488760811,-0.5427021980285646,-0.4806640488760813,-0.9522833824157716,0.0,0.0
2018-09-27,1,0,0,1,0.9513468146324158,-0.9513468146324158,0.0,0.0,1.0,-0.6345433990160624,-0.616570736680712,-0.6345433990160626,-0.6165707366807122,0.0009365677833558239,-0.9522833824157716,0.0
2018-09-28,1,0,0,1,0.913899838924408,-0.913899838924408,0.0,0.0,1.0,-0.9391766786575316,-0.6525254419871739,-0.9391766786575318,-0.652525441987174,0.03744697570800781,-0.9513468146324158,-0.6622169017791748
