DATE,NEPSE,
30-Nov-05,300.5,
1-Dec-05,301.8,
4-Dec-05,301.7,
5-Dec-05,302.0,
6-Dec-05,298.0,
7-Dec-05,297.5,
8-Dec-05,299.1,
11-Dec-05,299.8,
12-Dec-05,299.7,
13-Dec-05,300.7,
14-Dec-05,302.2,
15-Dec-05,303.1,
18-Dec-05,304.0,
19-Dec-05,305.0,
20-Dec-05,306.6,
21-Dec-05,308.1,
22-Dec-05,308.7,
25-Dec-05,300.5,
26-Dec-05,299.9,
27-Dec-05,301.1,
28-Dec-05,301.6,
29-Dec-05,302.8,
1-Jan-06,303.3,
2-Jan-06,304.2,
3-Jan-06,305.4,
4-Jan-06,305.9,
5-Jan-06,305.6,
8-Jan-06,305.4,
9-Jan-06,305.7,
10-Jan-06,305.6,
12-Jan-06,305.5,
15-Jan-06,305.7,
16-Jan-06,305.9,
17-Jan-06,305.9,
18-Jan-06,306.2,
19-Jan-06,305.3,
22-Jan-06,305.3,
23-Jan-06,305.7,
24-Jan-06,306.5,
25-Jan-06,306.1,
26-Jan-06,306.3,
30-Jan-06,306.9,
31-Jan-06,309.0,
1-Feb-06,308.3,
2-Feb-06,308.9,
5-Feb-06,309.1,
6-Feb-06,309.1,
7-Feb-06,310.3,
9-Feb-06,312.6,
12-Feb-06,317.7,
13-Feb-06,326.0,
14-Feb-06,329.4,
15-Feb-06,325.9,
16-Feb-06,324.9,
20-Feb-06,325.4,
21-Feb-06,327.5,
22-Feb-06,329.8,
23-Feb-06,333.0,
27-Feb-06,337.6,
28-Feb-06,341.1,
1-Mar-06,343.3,
2-Mar-06,339.6,
5-Mar-06,339.6,
6-Mar-06,334.4,
7-Mar-06,332.3,
8-Mar-06,335.4,
9-Mar-06,337.9,
12-Mar-06,337.3,
13-Mar-06,339.8,
15-Mar-06,339.7,
16-Mar-06,339.3,
19-Mar-06,339.6,
20-Mar-06,340.0,
21-Mar-06,339.0,
22-Mar-06,338.9,
23-Mar-06,338.7,
26-Mar-06,338.0,
27-Mar-06,337.5,
28-Mar-06,337.6,
30-Mar-06,337.5,
2-Apr-06,336.7,
3-Apr-06,334.9,
4-Apr-06,334.2,
5-Apr-06,334.8,
16-Apr-06,334.3,
17-Apr-06,331.9,
25-Apr-06,338.5,
26-Apr-06,343.3,
30-Apr-06,361.6,
1-May-06,374.9,
2-May-06,372.5,
3-May-06,368.0,
4-May-06,366.9,
7-May-06,368.7,
8-May-06,371.0,
9-May-06,375.2,
10-May-06,377.5,
11-May-06,381.7,
14-May-06,385.9,
15-May-06,388.5,
16-May-06,387.9,
17-May-06,384.6,
18-May-06,384.1,
21-May-06,382.7,
22-May-06,378.2,
23-May-06,372.5,
24-May-06,370.9,
25-May-06,368.9,
28-May-06,375.6,
29-May-06,380.2,
30-May-06,372.6,
31-May-06,371.7,
1-Jun-06,372.0,
4-Jun-06,372.1,
5-Jun-06,371.5,
6-Jun-06,370.8,
7-Jun-06,369.6,
8-Jun-06,370.8,
11-Jun-06,371.6,
12-Jun-06,371.7,
13-Jun-06,370.8,
14-Jun-06,372.0,
15-Jun-06,372.2,
18-Jun-06,374.1,
19-Jun-06,375.5,
20-Jun-06,377.0,
21-Jun-06,378.7,
22-Jun-06,378.9,
25-Jun-06,378.5,
26-Jun-06,377.6,
27-Jun-06,375.5,
28-Jun-06,374.7,
29-Jun-06,375.1,
2-Jul-06,376.8,
3-Jul-06,378.7,
4-Jul-06,380.4,
5-Jul-06,382.0,
6-Jul-06,383.9,
9-Jul-06,384.6,
10-Jul-06,385.3,
12-Jul-06,386.6,
13-Jul-06,386.5,
16-Jul-06,386.8,
17-Jul-06,388.2,
18-Jul-06,389.7,
19-Jul-06,393.7,
20-Jul-06,395.9,
23-Jul-06,398.0,
24-Jul-06,398.2,
25-Jul-06,397.4,
26-Jul-06,394.9,
27-Jul-06,387.3,
30-Jul-06,386.5,
31-Jul-06,378.8,
1-Aug-06,366.7,
2-Aug-06,358.7,
3-Aug-06,355.6,
6-Aug-06,363.6,
7-Aug-06,383.1,
8-Aug-06,390.9,
13-Aug-06,391.7,
14-Aug-06,390.3,
15-Aug-06,389.2,
17-Aug-06,387.9,
20-Aug-06,384.8,
21-Aug-06,382.9,
22-Aug-06,380.8,
24-Aug-06,379.9,
27-Aug-06,378.8,
28-Aug-06,378.2,
29-Aug-06,379.3,
30-Aug-06,380.7,
31-Aug-06,382.2,
3-Sep-06,382.6,
4-Sep-06,382.5,
5-Sep-06,380.9,
7-Sep-06,381.5,
10-Sep-06,381.4,
11-Sep-06,381.4,
12-Sep-06,383.6,
13-Sep-06,383.2,
14-Sep-06,382.6,
18-Sep-06,387.6,
19-Sep-06,393.0,
20-Sep-06,393.4,
21-Sep-06,392.1,
24-Sep-06,391.6,
25-Sep-06,392.4,
26-Sep-06,392.7,
28-Sep-06,394.3,
8-Oct-06,397.5,
9-Oct-06,399.1,
10-Oct-06,399.5,
11-Oct-06,398.0,
12-Oct-06,398.9,
15-Oct-06,399.2,
16-Oct-06,398.2,
17-Oct-06,398.4,
18-Oct-06,398.1,
19-Oct-06,399.7,
26-Oct-06,401.1,
29-Oct-06,403.0,
30-Oct-06,405.1,
31-Oct-06,408.4,
1-Nov-06,402.1,
2-Nov-06,413.1,
5-Nov-06,415.1,
6-Nov-06,419.6,
7-Nov-06,424.2,
8-Nov-06,435.9,
9-Nov-06,445.0,
12-Nov-06,448.7,
13-Nov-06,441.0,
14-Nov-06,445.0,
15-Nov-06,448.1,
16-Nov-06,447.4,
19-Nov-06,447.8,
20-Nov-06,445.6,
21-Nov-06,446.5,
23-Nov-06,453.0,
26-Nov-06,463.7,
27-Nov-06,469.5,
28-Nov-06,478.0,
29-Nov-06,492.5,
30-Nov-06,486.2,
3-Dec-06,479.8,
4-Dec-06,476.9,
5-Dec-06,475.0,
6-Dec-06,473.3,
7-Dec-06,476.8,
10-Dec-06,481.0,
11-Dec-06,485.7,
12-Dec-06,494.2,
13-Dec-06,503.0,
14-Dec-06,508.6,
17-Dec-06,514.4,
18-Dec-06,517.0,
19-Dec-06,517.5,
20-Dec-06,511.2,
21-Dec-06,515.4,
24-Dec-06,518.6,
25-Dec-06,521.0,
26-Dec-06,520.8,
27-Dec-06,520.0,
28-Dec-06,517.5,
31-Dec-06,514.4,
1-Jan-07,512.7,
2-Jan-07,509.0,
3-Jan-07,505.3,
4-Jan-07,512.3,
7-Jan-07,521.4,
8-Jan-07,525.3,
9-Jan-07,530.5,
10-Jan-07,532.3,
11-Jan-07,532.3,
14-Jan-07,537.1,
15-Jan-07,538.4,
17-Jan-07,538.5,
18-Jan-07,535.9,
21-Jan-07,529.8,
22-Jan-07,527.1,
24-Jan-07,526.3,
25-Jan-07,523.6,
28-Jan-07,519.9,
29-Jan-07,512.7,
31-Jan-07,513.3,
1-Feb-07,519.1,
4-Feb-07,519.8,
5-Feb-07,520.2,
6-Feb-07,520.7,
7-Feb-07,519.7,
8-Feb-07,523.1,
11-Feb-07,524.8,
12-Feb-07,523.9,
13-Feb-07,525.1,
14-Feb-07,525.9,
15-Feb-07,527.0,
18-Feb-07,525.7,
20-Feb-07,523.2,
21-Feb-07,520.5,
22-Feb-07,519.1,
25-Feb-07,517.8,
26-Feb-07,514.7,
27-Feb-07,511.9,
28-Feb-07,511.8,
1-Mar-07,508.9,
4-Mar-07,505.4,
5-Mar-07,498.3,
6-Mar-07,486.0,
7-Mar-07,476.1,
8-Mar-07,486.8,
11-Mar-07,496.6,
12-Mar-07,500.7,
13-Mar-07,500.1,
14-Mar-07,494.1,
15-Mar-07,493.9,
21-Mar-07,492.3,
22-Mar-07,491.5,
25-Mar-07,488.5,
28-Mar-07,482.5,
29-Mar-07,481.0,
1-Apr-07,502.2,
2-Apr-07,507.5,
3-Apr-07,501.7,
4-Apr-07,491.6,
5-Apr-07,488.9,
8-Apr-07,488.2,
9-Apr-07,487.4,
10-Apr-07,487.0,
11-Apr-07,489.0,
12-Apr-07,494.6,
15-Apr-07,497.7,
16-Apr-07,498.0,
17-Apr-07,498.9,
18-Apr-07,501.3,
19-Apr-07,503.3,
22-Apr-07,502.7,
23-Apr-07,501.5,
25-Apr-07,502.6,
26-Apr-07,506.6,
29-Apr-07,509.6,
30-Apr-07,513.7,
3-May-07,514.7,
6-May-07,515.0,
7-May-07,516.1,
8-May-07,517.4,
9-May-07,518.6,
10-May-07,518.3,
13-May-07,516.8,
14-May-07,513.5,
15-May-07,512.4,
16-May-07,515.2,
17-May-07,518.6,
20-May-07,525.6,
21-May-07,525.2,
22-May-07,522.2,
23-May-07,523.5,
24-May-07,525.1,
27-May-07,524.9,
28-May-07,525.9,
29-May-07,532.0,
30-May-07,540.7,
31-May-07,541.4,
3-Jun-07,537.7,
4-Jun-07,542.1,
5-Jun-07,544.1,
6-Jun-07,550.0,
7-Jun-07,552.1,
10-Jun-07,559.2,
11-Jun-07,564.5,
12-Jun-07,572.7,
13-Jun-07,583.6,
14-Jun-07,575.0,
17-Jun-07,569.5,
18-Jun-07,563.5,
19-Jun-07,567.3,
20-Jun-07,578.8,
21-Jun-07,583.4,
24-Jun-07,584.0,
25-Jun-07,588.2,
26-Jun-07,590.3,
27-Jun-07,591.7,
1-Jul-07,593.7,
2-Jul-07,598.5,
3-Jul-07,602.9,
4-Jul-07,611.1,
5-Jul-07,613.5,
9-Jul-07,615.4,
10-Jul-07,620.6,
11-Jul-07,633.0,
12-Jul-07,643.2,
15-Jul-07,657.5,
16-Jul-07,684.0,
17-Jul-07,696.6,
18-Jul-07,678.0,
19-Jul-07,680.0,
22-Jul-07,687.7,
23-Jul-07,695.7,
24-Jul-07,695.4,
25-Jul-07,689.8,
26-Jul-07,687.8,
29-Jul-07,685.4,
30-Jul-07,680.6,
31-Jul-07,679.0,
1-Aug-07,683.4,
2-Aug-07,693.2,
5-Aug-07,702.7,
6-Aug-07,706.1,
7-Aug-07,719.7,
8-Aug-07,725.3,
9-Aug-07,723.3,
13-Aug-07,718.1,
14-Aug-07,712.7,
15-Aug-07,705.1,
16-Aug-07,706.0,
19-Aug-07,710.6,
20-Aug-07,714.1,
21-Aug-07,721.8,
22-Aug-07,722.5,
23-Aug-07,725.5,
24-Aug-07,725.9,
26-Aug-07,723.7,
27-Aug-07,723.0,
30-Aug-07,739.5,
2-Sep-07,756.1,
3-Sep-07,769.1,
5-Sep-07,785.4,
8-Sep-07,796.3,
9-Sep-07,812.0,
10-Sep-07,828.8,
11-Sep-07,833.6,
12-Sep-07,821.4,
13-Sep-07,813.8,
16-Sep-07,818.2,
17-Sep-07,817.1,
18-Sep-07,827.7,
19-Sep-07,837.9,
20-Sep-07,880.0,
23-Sep-07,847.9,
24-Sep-07,848.2,
26-Sep-07,855.1,
27-Sep-07,878.4,
30-Sep-07,885.5,
1-Oct-07,887.5,
2-Oct-07,886.1,
3-Oct-07,890.6,
4-Oct-07,899.4,
7-Oct-07,899.4,
8-Oct-07,873.9,
9-Oct-07,848.1,
10-Oct-07,837.7,
11-Oct-07,866.1,
14-Oct-07,883.4,
15-Oct-07,869.3,
16-Oct-07,863.1,
17-Oct-07,861.4,
28-Oct-07,858.1,
29-Oct-07,859.5,
30-Oct-07,864.9,
31-Oct-07,878.9,
1-Nov-07,887.6,
4-Nov-07,876.6,
5-Nov-07,874.5,
6-Nov-07,877.4,
7-Nov-07,880.1,
8-Nov-07,882.5,
12-Nov-07,889.1,
13-Nov-07,892.3,
14-Nov-07,902.5,
15-Nov-07,915.4,
18-Nov-07,851.6,
19-Nov-07,855.0,
20-Nov-07,852.7,
21-Nov-07,855.6,
22-Nov-07,856.2,
25-Nov-07,861.3,
26-Nov-07,867.6,
27-Nov-07,869.4,
28-Nov-07,879.6,
29-Nov-07,897.3,
2-Dec-07,922.4,
3-Dec-07,943.0,
4-Dec-07,963.8,
5-Dec-07,974.4,
6-Dec-07,992.8,
9-Dec-07,1000.5,
10-Dec-07,992.2,
11-Dec-07,996.3,
12-Dec-07,1000.3,
13-Dec-07,1025.9,
16-Dec-07,1052.9,
17-Dec-07,1064.1,
18-Dec-07,1061.4,
19-Dec-07,1061.3,
20-Dec-07,1055.7,
23-Dec-07,1045.7,
24-Dec-07,1018.2,
25-Dec-07,992.9,
26-Dec-07,967.7,
27-Dec-07,984.5,
6-Jan-08,988.6,
7-Jan-08,971.0,
8-Jan-08,956.8,
9-Jan-08,963.8,
10-Jan-08,981.4,
13-Jan-08,976.1,
14-Jan-08,958.9,
16-Jan-08,931.4,
17-Jan-08,905.4,
20-Jan-08,879.7,
21-Jan-08,867.5,
22-Jan-08,890.3,
23-Jan-08,877.5,
24-Jan-08,878.1,
27-Jan-08,867.6,
28-Jan-08,842.6,
29-Jan-08,817.6,
31-Jan-08,803.7,
3-Feb-08,778.1,
4-Feb-08,752.3,
5-Feb-08,708.7,
6-Feb-08,723.5,
7-Feb-08,750.9,
10-Feb-08,776.7,
11-Feb-08,802.0,
12-Feb-08,814.4,
13-Feb-08,809.9,
14-Feb-08,795.9,
17-Feb-08,769.9,
18-Feb-08,757.1,
20-Feb-08,756.4,
21-Feb-08,758.5,
24-Feb-08,755.9,
25-Feb-08,761.2,
26-Feb-08,759.5,
27-Feb-08,751.8,
28-Feb-08,756.8,
2-Mar-08,772.9,
3-Mar-08,771.2,
4-Mar-08,767.0,
5-Mar-08,758.7,
9-Mar-08,756.7,
10-Mar-08,749.1,
11-Mar-08,741.1,
12-Mar-08,723.3,
13-Mar-08,714.8,
16-Mar-08,713.0,
17-Mar-08,720.9,
18-Mar-08,718.9,
19-Mar-08,716.0,
20-Mar-08,716.7,
23-Mar-08,710.8,
24-Mar-08,704.5,
25-Mar-08,721.2,
26-Mar-08,720.7,
27-Mar-08,716.4,
30-Mar-08,703.0,
31-Mar-08,709.4,
1-Apr-08,712.5,
2-Apr-08,716.6,
3-Apr-08,730.1,
6-Apr-08,746.7,
15-Apr-08,720.2,
16-Apr-08,708.8,
17-Apr-08,734.8,
20-Apr-08,744.0,
21-Apr-08,739.4,
22-Apr-08,734.7,
24-Apr-08,734.9,
27-Apr-08,729.0,
28-Apr-08,730.3,
29-Apr-08,728.7,
30-Apr-08,736.5,
4-May-08,740.2,
5-May-08,748.9,
6-May-08,767.9,
7-May-08,777.0,
8-May-08,771.3,
11-May-08,773.5,
12-May-08,785.4,
13-May-08,806.3,
14-May-08,825.6,
15-May-08,812.7,
18-May-08,798.9,"**** The Market has remained closed (Sunday, 12 August 2007) due to untimely demise of Mr. Tanka Nath Adhikari (Broker number 18)."
21-May-08,801.5,
22-May-08,817.6,
25-May-08,832.1,
26-May-08,823.7,
27-May-08,833.2,
1-Jun-08,860.6,
2-Jun-08,873.8,
3-Jun-08,858.6,
4-Jun-08,867.9,
5-Jun-08,885.2,
8-Jun-08,910.8,
9-Jun-08,924.7,
10-Jun-08,915.0,
11-Jun-08,923.2,
12-Jun-08,930.7,
15-Jun-08,941.1,
16-Jun-08,957.9,
17-Jun-08,953.8,
18-Jun-08,959.8,
19-Jun-08,960.3,
22-Jun-08,947.1,
23-Jun-08,942.1,
24-Jun-08,940.9,
25-Jun-08,948.6,
26-Jun-08,951.6,
29-Jun-08,948.9,
30-Jun-08,937.5,
1-Jul-08,931.3,
2-Jul-08,906.2,
3-Jul-08,928.4,
6-Jul-08,926.9,
7-Jul-08,929.7,
8-Jul-08,936.5,
9-Jul-08,944.9,
10-Jul-08,949.5,
13-Jul-08,953.5,
14-Jul-08,959.3,
15-Jul-08,963.4,
16-Jul-08,982.1,
17-Jul-08,991.9,
20-Jul-08,985.2,
21-Jul-08,973.3,
22-Jul-08,962.8,
23-Jul-08,972.5,
27-Jul-08,980.8,
28-Jul-08,983.1,
29-Jul-08,1002.0,
30-Jul-08,1020.1,
31-Jul-08,1034.0,
3-Aug-08,1047.7,
4-Aug-08,1075.3,
5-Aug-08,1102.1,
6-Aug-08,1128.1,
7-Aug-08,1101.4,
10-Aug-08,1075.5,
11-Aug-08,1088.9,
12-Aug-08,1085.0,
13-Aug-08,1079.6,
14-Aug-08,1084.8,
18-Aug-08,1075.9,
19-Aug-08,1057.5,
20-Aug-08,1064.3,
21-Aug-08,1062.2,
24-Aug-08,1057.4,
25-Aug-08,1068.2,
26-Aug-08,1087.8,
27-Aug-08,1086.2,
28-Aug-08,1119.7,
31-Aug-08,1175.4,
1-Sep-08,1134.4,
2-Sep-08,1102.4,
3-Sep-08,1064.0,
4-Sep-08,1067.2,
7-Sep-08,1071.1,
8-Sep-08,1058.6,
9-Sep-08,1051.2,
10-Sep-08,1029.9,
11-Sep-08,1028.5,
15-Sep-08,996.1,
16-Sep-08,976.0,
17-Sep-08,985.2,
18-Sep-08,1004.3,
21-Sep-08,976.8,
22-Sep-08,952.6,
23-Sep-08,951.3,
24-Sep-08,945.1,
25-Sep-08,941.1,
28-Sep-08,954.6,
29-Sep-08,962.6,
1-Oct-08,970.2,
5-Oct-08,973.7,
12-Oct-08,969.6,
13-Oct-08,957.3,
15-Oct-08,938.3,
16-Oct-08,934.0,
19-Oct-08,918.6,
20-Oct-08,900.0,
21-Oct-08,907.7,
22-Oct-08,914.0,
23-Oct-08,919.3,
26-Oct-08,918.2,
27-Oct-08,881.9,
2-Nov-08,853.2,
3-Nov-08,849.4,
5-Nov-08,848.2,
6-Nov-08,832.6,
9-Nov-08,810.8,
10-Nov-08,779.8,
11-Nov-08,802.1,
12-Nov-08,815.6,
13-Nov-08,806.9,
16-Nov-08,793.9,
17-Nov-08,774.2,
18-Nov-08,776.0,
19-Nov-08,776.6,
20-Nov-08,770.4,
23-Nov-08,750.5,
24-Nov-08,726.5,
25-Nov-08,698.8,
26-Nov-08,728.6,
27-Nov-08,732.2,
30-Nov-08,750.7,
1-Dec-08,765.8,
2-Dec-08,761.7,
3-Dec-08,758.1,
4-Dec-08,754.9,
